Province,District,Municipality
Madhesh Pradesh,Sarlahi,Haripurwa Municipality
Madhesh Pradesh,Sarlahi,Ishworpur Municipality
Madhesh Pradesh,Sarlahi,Haripur Municipality
Madhesh Pradesh,Sarlahi,Barahathawa Municipality
Madhesh Pradesh,Sarlahi,Bagmati Municipality
Madhesh Pradesh,Sarlahi,Hariwan Municipality
Madhesh Pradesh,Sarlahi,Lalbandi Municipality
Madhesh Pradesh,Siraha,Siraha Municipality
Madhesh Pradesh,Siraha,Aurahi Rural Municipality
Madhesh Pradesh,Siraha,Bariyarpatti Rural Municipality
Madhesh Pradesh,Siraha,Nawarajpur Rural Municipality
Madhesh Pradesh,Siraha,Bhagawanpur Rural Municipality
Madhesh Pradesh,Siraha,Sakhuwa Nankarkatti Rural
Madhesh Pradesh,Siraha,Laxmipur Patari Rural
Madhesh Pradesh,Siraha,Sukhipur Municipality
Madhesh Pradesh,Siraha,Arnama Rural Municipality
Madhesh Pradesh,Siraha,Naraha Rural Municipality
Madhesh Pradesh,Siraha,Kalyanpur Municipality
Madhesh Pradesh,Siraha,Karjanha Municipality
Madhesh Pradesh,Siraha,Mirchaiya Municipality
Madhesh Pradesh,Siraha,Golbazar Municipality
Madhesh Pradesh,Siraha,Dhangadhimai Municipality
Madhesh Pradesh,Siraha,Lahan Municipality
Bagmati Pradesh,Bhaktapur ,Suryabinayak Municipality
Bagmati Pradesh,Bhaktapur ,Madhyapur Thimi Municipality
Bagmati Pradesh,Bhaktapur ,Bhaktapur Municipality
Bagmati Pradesh,Bhaktapur ,Changunarayan Municipality
Bagmati Pradesh,Chitwan,Madi Municipality
Bagmati Pradesh,Chitwan,Khairahani Municipality
Bagmati Pradesh,Chitwan,Ratnanagar Municipality
Bagmati Pradesh,Chitwan,Bharatpur Metropolitian City
Bagmati Pradesh,Chitwan,Ichchha Kamana Rural Municipality
Bagmati Pradesh,Chitwan,Kalika Municipality
Bagmati Pradesh,Chitwan,Rapti Municipality
Bagmati Pradesh,Dhading,Dhunibenshi Municipality
Bagmati Pradesh,Dhading,Thakre Rural Municipality
Bagmati Pradesh,Dhading,Galchhi Rural Municipality
Bagmati Pradesh,Dhading,Gajuri Rural Municipality
Bagmati Pradesh,Dhading,Benighat Rorang Rural Municipality
Bagmati Pradesh,Dhading,Siddhalek Rural Municipality
Bagmati Pradesh,Dhading,Jwalamukhi Rural Municipality
Bagmati Pradesh,Dhading,Nilkhantha Municipality
Bagmati Pradesh,Dhading,Netrawati Rural Municipality
Bagmati Pradesh,Dhading,Tripurasundari Rural Municipality
Bagmati Pradesh,Dhading,Ganga Jamuna Rural Municipality
Bagmati Pradesh,Dhading,Khaniyabas Rural Municipality
Bagmati Pradesh,Dhading,Rubi Valley Rural Municipality
Bagmati Pradesh,Dolakha,Bhimeshwor Municipality
Bagmati Pradesh,Dolakha,Shailung Rural Municipality
Bagmati Pradesh,Dolakha,Melung Rural Municipality
Bagmati Pradesh,Dolakha,Tamakoshi Rural Municipality
Bagmati Pradesh,Dolakha,Jiri Municipality
Bagmati Pradesh,Dolakha,Baitedhar Rural Municipality
Bagmati Pradesh,Dolakha,Kalinchowk Rural Municipality
Bagmati Pradesh,Dolakha,Bigu Rural Municipality
Bagmati Pradesh,Dolakha,Gaurishankar Rural Municipality
Bagmati Pradesh,Kathmandu,Dakshinkali Municipality
Bagmati Pradesh,Kathmandu,Chandragiri Municipality
Bagmati Pradesh,Kathmandu,Kirtipur Municipality
Bagmati Pradesh,Kathmandu,Kathmandu Metropolitian City
Bagmati Pradesh,Kathmandu,Nagarjun Municipality
Bagmati Pradesh,Kathmandu,Tarakeshwor Municipality
Bagmati Pradesh,Kathmandu,Tokha Municipality
Bagmati Pradesh,Kathmandu,Budhanilkhantha Municipality
Bagmati Pradesh,Kathmandu,Gokarneshwor Municipality
Bagmati Pradesh,Kathmandu,Kageshwori Manahara Municipality
Bagmati Pradesh,Kathmandu,Shankharapur Municipality
Bagmati Pradesh,Kavrepalanchok,Khanikhola Rural Municipality
Bagmati Pradesh,Kavrepalanchok,Mahabharat Rural Municipality
Bagmati Pradesh,Kavrepalanchok,Roshi Rural Municipality
Bagmati Pradesh,Kavrepalanchok,Bethanchowk Rural Municipality
Bagmati Pradesh,Kavrepalanchok,Panauti Municipality
Bagmati Pradesh,Kavrepalanchok,Namobuddha Municipality
Bagmati Pradesh,Kavrepalanchok,Temal Rural Municipality
Bagmati Pradesh,Kavrepalanchok,Panchkhal Municipality
Bagmati Pradesh,Kavrepalanchok,Dhulikhel Municipality
Bagmati Pradesh,Kavrepalanchok,Banepa Municipality
Bagmati Pradesh,Kavrepalanchok,Mandan Deupur Municipality
Bagmati Pradesh,Kavrepalanchok,Bhumlu Rural Municipality
Bagmati Pradesh,Kavrepalanchok,Chauri Deurali Rural Municipality
Bagmati Pradesh,Lalitpur,Bagmati Rural Municipality
Bagmati Pradesh,Lalitpur,Mahankal Rural Municipality
Bagmati Pradesh,Lalitpur,Konjyosom Rural Municipality
Bagmati Pradesh,Lalitpur,Godawari Municipality
Bagmati Pradesh,Lalitpur,Lalitpur Metropolitian City
Bagmati Pradesh,Lalitpur,Mahalaxmi Municipality
Bagmati Pradesh,Makawanpur,Bakaiya Rural Municipality
Bagmati Pradesh,Makawanpur,Makawanpurgadhi Rural Municipality
